,Date,Cases,Deaths,Recovered,Travel_history,Province,City
941,4/22/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
942,4/22/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
943,4/23/2020,242,3,0,Local - Social Contact,Sindh,Karachi
944,4/23/2020,1,0,0,Local - Social Contact,Sindh,Khairpur
945,4/23/2020,14,1,0,Local - Social Contact,Sindh,Shaheed Benazirabad
946,4/23/2020,1,0,0,Local - Social Contact,Sindh,Sujawal
947,4/23/2020,1,0,0,Local - Social Contact,Sindh,Sanghar
948,4/23/2020,1,0,0,Local - Social Contact,Sindh,Ghotki
949,4/23/2020,25,0,8,Local - Social Contact,Sindh,Sukkur
950,4/23/2020,11,0,1,Local - Social Contact,Sindh,Larkana
951,4/23/2020,1,0,1,Local - Social Contact,Sindh,Dadu
952,4/23/2020,1,0,1,Local - Social Contact,Sindh,Jacobabad
953,4/23/2020,0,0,17,Local - Social Contact,Sindh,Hyderabad
954,4/23/2020,0,0,5,Local - Social Contact,Sindh,Tando M. Khan
955,4/23/2020,10,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
